Date,Store ID,Product ID,Units Sold,Sales Amount,Discount Applied,Customer Segment
2024-10-08,S005,P008,42,811.9558767365016,10.83,Regular
2024-10-25,S003,P008,72,3356.458016278734,13.09,Premium
2024-10-21,S004,P007,80,3217.220010427677,14.76,Premium
2024-10-25,S004,P010,9,408.4703236484111,0.0,Regular
2024-10-12,S002,P008,60,2996.3100713724825,0.6,Regular
2024-10-08,S005,P007,25,513.4426421169388,4.52,Regular
2024-10-29,S003,P008,79,3887.543608006773,5.27,New
2024-10-20,S002,P004,72,3003.305191434541,8.22,Premium
2024-10-28,S001,P001,80,1536.1617485095944,0.13,Regular
2024-10-10,S003,P008,42,1034.7281368743584,11.05,New
2024-10-07,S001,P002,29,1372.351925831961,10.33,New
2024-11-04,S002,P007,75,1391.0666908097414,12.53,Premium
2024-10-31,S004,P008,75,2990.31793672016,8.71,Regular
2024-11-01,S003,P004,99,2772.175805571017,7.99,New
2024-10-26,S001,P005,74,1167.194351541937,1.14,Regular
2024-11-05,S002,P009,58,2411.7924679164657,8.85,New
2024-11-02,S003,P008,12,248.4834203010716,4.44,Premium
2024-10-25,S001,P005,77,2756.1841032499265,1.71,Premium
2024-10-16,S002,P007,90,1290.128340358995,12.9,Premium
2024-10-22,S004,P010,82,1295.7428368200815,4.94,New
2024-10-24,S005,P009,24,6613.830063981846,14.33,New
2024-10-16,S005,P006,12,4105.948885518308,3.67,Regular
2024-10-16,S004,P008,25,269.9341301070628,12.07,Premium
2024-10-07,S005,P003,89,1263.6497927591386,4.49,Regular
2024-10-11,S001,P004,6,156.08559418424812,2.3,Premium
2024-11-04,S002,P006,22,677.4305446923586,6.47,New
2024-10-17,S005,P006,8,1924.4874789317903,2.36,Regular
2024-10-15,S005,P003,85,2816.078830555689,7.28,New
2024-10-28,S004,P009,62,1499.1688406512042,8.55,Regular
2024-10-11,S004,P005,18,575.8393763823274,4.69,New
2024-11-02,S005,P002,36,1629.8164002092226,6.56,Premium
2024-10-13,S001,P003,23,378.9937283878861,3.56,New
2024-10-10,S003,P007,47,1375.448204259728,0.0,Regular
2024-11-03,S003,P007,7,340.1915709735333,7.82,New
2024-10-10,S005,P006,4,71.02677324574867,2.1,Regular
2024-10-07,S002,P009,41,572.5564502738418,2.95,Regular
2024-10-07,S002,P005,49,670.74599311704,8.72,New
2024-10-22,S002,P010,17,312.5304495344205,11.73,Regular
2024-10-12,S005,P004,86,2162.2403626910627,4.9,Premium
2024-10-07,S005,P006,87,1517.9784648188904,4.82,New
